masdar,screeve,subject,conjugation
შეიძლება,Present,1st singular,შემიძლია
შეიძლება,Present,2nd singular,შეგიძლია
შეიძლება,Present,3rd singular,შეუძლია
შეიძლება,Present,1st plural,შეგვიძლია
შეიძლება,Present,2nd plural,შეგიძლიათ
შეიძლება,Present,3rd plural,შეუძლიათ
შეიძლება,Aorist,1st singular,შემეძლო
შეიძლება,Aorist,2nd singular,შეგეძლო
შეიძლება,Aorist,3rd singular,შეეძლო
შეიძლება,Aorist,1st plural,შეგვეძლო
შეიძლება,Aorist,2nd plural,შეგეძლოთ
შეიძლება,Aorist,3rd plural,შეეძლოთ
შეიძლება,Future,1st singular,შემეძლება
შეიძლება,Future,2nd singular,შეგეძლება
შეიძლება,Future,3rd singular,შეეძლება
შეიძლება,Future,1st plural,შეგვეძლება
შეიძლება,Future,2nd plural,შეგეძლებათ
შეიძლება,Future,3rd plural,შეეძლებათ
გაუქმება,Present,1st singular,ვაუქმებ
გაუქმება,Present,2nd singular,აუქმებ
გაუქმება,Present,3rd singular,აუქმებს
გაუქმება,Present,1st plural,ვაუქმებთ
გაუქმება,Present,2nd plural,აუქმებთ
გაუქმება,Present,3rd plural,აუქმებენ
გაუქმება,Aorist,1st singular,გავაუქმე
გაუქმება,Aorist,2nd singular,გააუქმე
გაუქმება,Aorist,3rd singular,გააუქმა
გაუქმება,Aorist,1st plural,გავაუქმეთ
გაუქმება,Aorist,2nd plural,გააუქმეთ
გაუქმება,Aorist,3rd plural,გააუქმეს
შეჩვევა,Present,1st singular,ვეჩვევი
შეჩვევა,Present,2nd singular,ეჩვევი
შეჩვევა,Present,3rd singular,ეჩვევა
შეჩვევა,Present,1st plural,ვეჩვევით
შეჩვევა,Present,2nd plural,ეჩვევით
შეჩვევა,Present,3rd plural,ეჩვევიან
შეჩვევა,Aorist,1st singular,შევეჩვიე
შეჩვევა,Aorist,2nd singular,შეეჩვიე
შეჩვევა,Aorist,3rd singular,შეეჩვია
შეჩვევა,Aorist,1st plural,შევეჩვიეთ
შეჩვევა,Aorist,2nd plural,შეეჩვიეთ
შეჩვევა,Aorist,3rd plural,შეეჩვიენ
დამატება,Present,1st singular,ვამატებ
დამატება,Present,2nd singular,ამატებ
დამატება,Present,3rd singular,ამატებს
დამატება,Present,1st plural,ვამატებთ
დამატება,Present,2nd plural,ამატებთ
დამატება,Present,3rd plural,ამატებენ
დამატება,Aorist,1st singular,დავამატე
დამატება,Aorist,2nd singular,დაამატე
დამატება,Aorist,3rd singular,დაამატა
დამატება,Aorist,1st plural,დავამატეთ
დამატება,Aorist,2nd plural,დაამატეთ
დამატება,Aorist,3rd plural,დაამატეს
შიში,Present,1st singular,მეშინია
შიში,Present,2nd singular,გეშინია
შიში,Present,3rd singular,ეშინია
შიში,Present,1st plural,გვეშინია
შიში,Present,2nd plural,გეშინიათ
შიში,Present,3rd plural,ეშინიათ
შიში,Aorist,1st singular,შემეშინდა
შიში,Aorist,2nd singular,შეგეშინდა
შიში,Aorist,3rd singular,შეეშინდა
შიში,Aorist,1st plural,შეგვეშინდა
შიში,Aorist,2nd plural,შეგეშინდათ
შიში,Aorist,3rd plural,შეეშინდათ
შიში,Future,1st singular,შემეშინდება
შიში,Future,2nd singular,შეგეშინდება
შიში,Future,3rd singular,შეეშინდება
შიში,Future,1st plural,შეგვეშინდება
შიში,Future,2nd plural,შეგეშინდებათ
შიში,Future,3rd plural,შეეშინდებათ
შიში,Present,1st singular,ვაშინებ
შიში,Present,2nd singular,აშინებ
შიში,Present,3rd singular,აშინებს
შიში,Present,1st plural,ვაშინებთ
შიში,Present,2nd plural,აშინებთ
შიში,Present,3rd plural,აშინებენ
შიში,Aorist,1st singular,დავაშინე
შიში,Aorist,2nd singular,დააშინე
შიში,Aorist,3rd singular,დააშინა
შიში,Aorist,1st plural,დავაშინეთ
შიში,Aorist,2nd plural,დააშინეთ
შიში,Aorist,3rd plural,დააშინეს
დანხმობა,Present,1st singular,ვეთანხმები
დანხმობა,Present,2nd singular,ეთანხმები
დანხმობა,Present,3rd singular,ეთანხმება
დანხმობა,Present,1st plural,ვეთანხმებით
დანხმობა,Present,2nd plural,ეთანხმებით
დანხმობა,Present,3rd plural,ეთანხმებიან
დანხმობა,Aorist,1st singular,დავეთანხმე
დანხმობა,Aorist,2nd singular,დაეთანხმე
დანხმობა,Aorist,3rd singular,დაეთანხმა
დანხმობა,Aorist,1st plural,დავეთანხმეთ
დანხმობა,Aorist,2nd plural,დაეთანხმეთ
დანხმობა,Aorist,3rd plural,დაეთანხმნენ
გაყოფა,Present,1st singular,ვყოფ
გაყოფა,Present,2nd singular,ყოფ
გაყოფა,Present,3rd singular,ყოფს
გაყოფა,Present,1st plural,ვყოფთ
გაყოფა,Present,2nd plural,ყოფთ
გაყოფა,Present,3rd plural,ყოფენ
გაბრაზება,Present,1st singular,ვბრაზდები
გაბრაზება,Present,2nd singular,ბრაზდები
გაბრაზება,Present,3rd singular,ბრაზდება
გაბრაზება,Present,1st plural,ვბრაზდებით
გაბრაზება,Present,2nd plural,ბრაზდებით
გაბრაზება,Present,3rd plural,ბრაზდებიან
გაბრაზება,Aorist,1st singular,გავბრაზდი
გაბრაზება,Aorist,2nd singular,გაბრაზდი
გაბრაზება,Aorist,3rd singular,გაბრაზდა
გაბრაზება,Aorist,1st plural,გავბრაზდით
გაბრაზება,Aorist,2nd plural,გაბრაზდით
გაბრაზება,Aorist,3rd plural,გაბრაზდნენ
გაჟლეტა,Present,1st singular,&/*%2
გაჟლეტა,Present,2nd singular,/ლეტ
გაჟლეტა,Present,3rd singular,/ლეტს
გაჟლეტა,Present,1st plural,&/*%2'
გაჟლეტა,Present,2nd plural,/ლეტთ
გაჟლეტა,Present,3rd plural,/ლეტენ
გაჟლეტა,Aorist,1st singular,#!&/*(2%
გაჟლეტა,Aorist,2nd singular,#!/*(2%
გაჟლეტა,Aorist,3rd singular,#!/*(2!
გაჟლეტა,Aorist,1st plural,#!&/*(2%'
გაჟლეტა,Aorist,2nd plural,#!/*(2%'
გაჟლეტა,Aorist,3rd plural,#!/*(2%1
პასუხი,Present,1st singular,ვპასუხობ
პასუხი,Present,2nd singular,პასუხობ
პასუხი,Present,3rd singular,პასუხობს
პასუხი,Present,1st plural,ვპასუხობთ
პასუხი,Present,2nd plural,პასუხობთ
პასუხი,Present,3rd plural,პასუხობენ
პასუხი,Aorist,1st singular,ვუპასუხე
პასუხი,Aorist,2nd singular,უპასუხე
პასუხი,Aorist,3rd singular,უპასუხა
პასუხი,Aorist,1st plural,ვუპასუხეთ
პასუხი,Aorist,2nd plural,უპასუხეთ
პასუხი,Aorist,3rd plural,უპასუხეს
გამოჩენა,Present,1st singular,ვჩნდები
გამოჩენა,Present,2nd singular,ჩნდები
გამოჩენა,Present,3rd singular,ჩნდება
გამოჩენა,Present,1st plural,ვჩნდებით
გამოჩენა,Present,2nd plural,ჩნდებით
გამოჩენა,Present,3rd plural,ჩნდებიან
გამოჩენა,Aorist,1st singular,გამოვჩნდი
გამოჩენა,Aorist,2nd singular,გამოჩნდი
გამოჩენა,Aorist,3rd singular,გამოჩნდა
გამოჩენა,Aorist,1st plural,გამოვჩნდით
გამოჩენა,Aorist,2nd plural,გამოჩნდით
გამოჩენა,Aorist,3rd plural,გამოჩნდნენ
ტაშის დაკვრა,Present,1st singular,ტაშს
ტაშის დაკვრა,Present,2nd singular,ტაშს
ტაშის დაკვრა,Present,3rd singular,ტაშს
ტაშის დაკვრა,Present,1st plural,ტაშს
ტაშის დაკვრა,Present,2nd plural,ტაშს
ტაშის დაკვრა,Present,3rd plural,ტაშს
ტაშის დაკვრა,Aorist,1st singular,ტაში
ტაშის დაკვრა,Aorist,2nd singular,ტაში
ტაშის დაკვრა,Aorist,3rd singular,ტაში
ტაშის დაკვრა,Aorist,1st plural,ტაში
ტაშის დაკვრა,Aorist,2nd plural,ტაში
ტაშის დაკვრა,Aorist,3rd plural,ტაში
დანიშვნა,Present,1st singular,ვნიშნავ
დანიშვნა,Present,2nd singular,ნიშნავ
დანიშვნა,Present,3rd singular,ნიშნავს
დანიშვნა,Present,1st plural,ვნიშნავთ
დანიშვნა,Present,2nd plural,ნიშნავთ
დანიშვნა,Present,3rd plural,ნიშნავენ
დაფასება,Present,1st singular,ვაფასებ
დაფასება,Present,2nd singular,აფასებ
დაფასება,Present,3rd singular,აფასებს
დაფასება,Present,1st plural,ვაფასებთ
დაფასება,Present,2nd plural,აფასებთ
დაფასება,Present,3rd plural,აფასებენ
დაფასება,Aorist,1st singular,დავაფასე
დაფასება,Aorist,2nd singular,დააფასე
დაფასება,Aorist,3rd singular,დააფასა
დაფასება,Aorist,1st plural,დავაფასეთ
დაფასება,Aorist,2nd plural,დააფასეთ
დაფასება,Aorist,3rd plural,დააფასეს
მიახლოება,Present,1st singular,ვუახლოვდები
მიახლოება,Present,2nd singular,უახლოვდები
მიახლოება,Present,3rd singular,უახლოვდება
მიახლოება,Present,1st plural,ვუახლოვდებით
მიახლოება,Present,2nd plural,უახლოვდებით
მიახლოება,Present,3rd plural,უახლოვდებიან
მიახლოება,Aorist,1st singular,მივუახლოვდი
მიახლოება,Aorist,2nd singular,მიუახლოვდი
მიახლოება,Aorist,3rd singular,მიუახლოვდა
მიახლოება,Aorist,1st plural,მივუახლოვდით
მიახლოება,Aorist,2nd plural,მიუახლოვდით
მიახლოება,Aorist,3rd plural,მიუახლოვდნენ
კამადი,Present,1st singular,"&)!+!'-"""
კამადი,Present,2nd singular,)ამათობ
კამადი,Present,3rd singular,)ამათობს
კამადი,Present,1st plural,"&)!+!'-""'"
კამადი,Present,2nd plural,)ამათობთ
კამადი,Present,3rd plural,)ამათობენ
კამადი,Aorist,1st singular,&()!+!'%
კამადი,Aorist,2nd singular,()!+!'%
კამადი,Aorist,3rd singular,()!+!'!
კამადი,Aorist,1st plural,&()!+!'%'
კამადი,Aorist,2nd plural,()!+!'%'
კამადი,Aorist,3rd plural,()!+!'%1
კიდხვა,Present,1st singular,"&)('>3*-"""
კიდხვა,Present,2nd singular,)ითხულობ
კიდხვა,Present,3rd singular,)ითხულობს
კიდხვა,Present,1st plural,"&)('>3*-""'"
კიდხვა,Present,2nd plural,)ითხულობთ
კიდხვა,Present,3rd plural,)ითხულობენ
კიდხვა,Aorist,1st singular,&()('>%
კიდხვა,Aorist,2nd singular,()('>%
კიდხვა,Aorist,3rd singular,()('>!
კიდხვა,Aorist,1st plural,&()('>%'
კიდხვა,Aorist,2nd plural,()('>%'
კიდხვა,Aorist,3rd plural,()('>%1
კიდხვა,Future,1st singular,&()('>!&
კიდხვა,Future,2nd singular,()('>!&
კიდხვა,Future,3rd singular,()('>!&1
კიდხვა,Future,1st plural,&()('>!&'
კიდხვა,Future,2nd plural,()('>!&'
კიდხვა,Future,3rd plural,"()('>!&%,"
დამაგრება / მიმაგრება,Present,1st singular,ვამაგრებ
დამაგრება / მიმაგრება,Present,2nd singular,ამაგრებ
დამაგრება / მიმაგრება,Present,3rd singular,ამაგრებს
დამაგრება / მიმაგრება,Present,1st plural,ვამაგრებთ
დამაგრება / მიმაგრება,Present,2nd plural,ამაგრებთ
დამაგრება / მიმაგრება,Present,3rd plural,ამაგრებენ
დამაგრება / მიმაგრება,Aorist,1st singular,დავამაგრე
დამაგრება / მიმაგრება,Aorist,2nd singular,დაამაგრე
დამაგრება / მიმაგრება,Aorist,3rd singular,დაამაგრა
დამაგრება / მიმაგრება,Aorist,1st plural,დავამაგრეთ
დამაგრება / მიმაგრება,Aorist,2nd plural,დაამაგრეთ
დამაგრება / მიმაგრება,Aorist,3rd plural,დაამაგრეს
გამოცხობა,Present,1st singular,ვაცხობ
გამოცხობა,Present,2nd singular,აცხობ
გამოცხობა,Present,3rd singular,აცხობს
გამოცხობა,Present,1st plural,ვაცხობთ
გამოცხობა,Present,2nd plural,აცხობთ
გამოცხობა,Present,3rd plural,აცხობენ
გამოცხობა,Aorist,1st singular,გამოვაცხე
გამოცხობა,Aorist,2nd singular,გამოაცხე
გამოცხობა,Aorist,3rd singular,გამოაცხო
გამოცხობა,Aorist,1st plural,გამოვაცხეთ
გამოცხობა,Aorist,2nd plural,გამოაცხეთ
გამოცხობა,Aorist,3rd plural,გამოაცხეს
ყეფა,Present,1st singular,ვყეფ
ყეფა,Present,2nd singular,ყეფ
ყეფა,Present,3rd singular,ყეფს
ყეფა,Present,1st plural,ვყეფთ
ყეფა,Present,2nd plural,ყეფთ
ყეფა,Present,3rd plural,ყეფენ
ყეფა,Aorist,1st singular,ვიყეფე
ყეფა,Aorist,2nd singular,იყეფე
ყეფა,Aorist,3rd singular,იყეფა
ყეფა,Aorist,1st plural,ვიყეფეთ
ყეფა,Aorist,2nd plural,იყეფეთ
ყეფა,Aorist,3rd plural,იყეფეს
ბანაობა,Present,1st singular,ვბანაობ
ბანაობა,Present,2nd singular,ბანაობ
ბანაობა,Present,3rd singular,ბანაობს
ბანაობა,Present,1st plural,ვბანაობთ
ბანაობა,Present,2nd plural,ბანაობთ
ბანაობა,Present,3rd plural,ბანაობენ
ბანაობა,Aorist,1st singular,ვიბანავე
ბანაობა,Aorist,2nd singular,იბანავე
ბანაობა,Aorist,3rd singular,იბანავა
ბანაობა,Aorist,1st plural,ვიბანავეთ
ბანაობა,Aorist,2nd plural,იბანავეთ
ბანაობა,Aorist,3rd plural,იბანავეს
დაბანვა,Present,1st singular,ვაბანავებ
დაბანვა,Present,2nd singular,აბანავებ
დაბანვა,Present,3rd singular,აბანავებს
დაბანვა,Present,1st plural,ვაბანავებთ
დაბანვა,Present,2nd plural,აბანავებთ
დაბანვა,Present,3rd plural,აბანავებენ
დაბანვა,Aorist,1st singular,ვაბანავე
დაბანვა,Aorist,2nd singular,აბანავე
დაბანვა,Aorist,3rd singular,აბანავა
დაბანვა,Aorist,1st plural,ვაბანავეთ
დაბანვა,Aorist,2nd plural,აბანავეთ
დაბანვა,Aorist,3rd plural,აბანავეს
ყოფნა,Present,1st singular,ვარ
ყოფნა,Present,2nd singular,ხარ
ყოფნა,Present,3rd singular,არის
ყოფნა,Present,1st plural,ვართ
ყოფნა,Present,2nd plural,ხართ
ყოფნა,Present,3rd plural,არიან
ყოფნა,Future,1st singular,ვიქნები
ყოფნა,Future,2nd singular,იქნები
ყოფნა,Future,3rd singular,იქნება
ყოფნა,Future,1st plural,ვიქნებით
ყოფნა,Future,2nd plural,იქნებით
